+-----+--------------------------------+---------+--------------------------+-------------------+---------------------------------------------------------------------------------------------+---------------+--------------------------------------------------------+--------------------+------+--------+--------+-----------+-----------+-------+----------+----------+----------+---------+-----------+--------------------+--------------------+--------------+-------------------+-------------+
|  id |              name              |   size  |    manufacturer_name     | manufacturer_code |                                             url                                             |     status    |                        loaners                         |        mass        | beam | height | length | scm_speed | max_speed | cargo | max_crew | min_crew | buy_auec | buy_usd | rent_auec | ins_std_claim_time | ins_exp_claim_time | ins_exp_cost | has_quantum_drive | has_gravlev |
| 123 |              85X               |   snub  |     Origin Jumpworks     |        ORIG       |                   https://robertsspaceindustries.com/pledge/ships/85x/85X                   |  Flight Ready |                           []                           |      19833.5       |  10  |   2    |   13   |    190    |    1183   |   0   |    2     |    1     |  574500  |    50   |   14362   |      00:01:01      |      00:00:00      |     510      |       False       |    False    |
|  55 |            890 Jump            | capital |     Origin Jumpworks     |        ORIG       |              https://robertsspaceindustries.com/pledge/ships/890-jump/890-Jump              |  Flight Ready |                           []                           |      44237159      |  71  |   40   |  205   |     80    |    900    |   32  |    8     |    3     | 32294500 |    0    |    None   |      01:07:30      |      00:22:30      |    33750     |       False       |    False    |
| 164 |          A2 Hercules           |  large  |   Crusader Industries    |        CRSD       |       https://robertsspaceindustries.com/pledge/ships/crusader-starlifter/A2-Hercules       |  Flight Ready |                    ['M2 Hercules']                     |     3139240.06     |  70  |   23   |   94   |    135    |    963    |  234  |    6     |    1     |   None   |   750   |    None   |      00:41:00      |      00:10:00      |     2100     |       False       |    False    |
| 167 |         Apollo Medivac         |  large  | Roberts Space Industries |        RSI        |          https://robertsspaceindustries.com/pledge/ships/rsi-apollo/Apollo-Medivac          |   In Concept  |                    ['Cutlass Red']                     |       376500       |  30  |   10   |   43   |    195    |    None   |   28  |    2     |   None   |   None   |   275   |    None   |        None        |        None        |     None     |       False       |    False    |
| 166 |         Apollo Triage          |  large  | Roberts Space Industries |        RSI        |           https://robertsspaceindustries.com/pledge/ships/rsi-apollo/Apollo-Triage          |   In Concept  |                    ['Cutlass Red']                     |       376500       |  30  |   10   |   43   |    205    |    None   |   28  |    2     |   None   |   None   |   250   |    None   |        None        |        None        |     None     |       False       |    False    |
| 198 |          Ares Inferno          |  medium |   Crusader Industries    |        CRSD       |          https://robertsspaceindustries.com/pledge/ships/crusader-ares/Ares-Inferno         |  Flight Ready |          ['Hurricane', 'F7C-M Super Hornet']           |       329001       | 30.2 |  5.5   |  27.2  |    170    |    1120   |   0   |    1     |   None   |   None   |   220   |    None   |      00:10:08      |      00:03:22      |     5065     |       False       |    False    |
| 200 |            Ares Ion            |  medium |   Crusader Industries    |        CRSD       |            https://robertsspaceindustries.com/pledge/ships/crusader-ares/Ares-Ion           |  Flight Ready |          ['Hurricane', 'F7C-M Super Hornet']           |       329001       | 30.2 |  5.5   |  27.2  |    170    |    1120   |   0   |    1     |   None   |   None   |   220   |    None   |      00:10:08      |      00:03:22      |     5065     |       False       |    False    |
| 173 |             Arrow              |  small  |     Anvil Aerospace      |        ANVL       |              https://robertsspaceindustries.com/pledge/ships/anvil-arrow/Arrow              |  Flight Ready |                           []                           |       32310        |  12  |   4    |   16   |    199    |    1234   |   0   |    1     |    1     |  972300  |    75   |   19446   |      00:06:45      |      00:02:15      |     3375     |       False       |    False    |
|  5  |           Aurora CL            |  small  | Roberts Space Industries |        RSI        |             https://robertsspaceindustries.com/pledge/ships/rsi-aurora/Aurora-CL            |  Flight Ready |                           []                           |       26422        |  8   |   4    |   18   |    138    |    1093   |   6   |    1     |    1     |  487600  |    45   |    None   |      00:00:40      |      00:00:00      |     340      |       False       |    False    |
|  1  |           Aurora ES            |  small  | Roberts Space Industries |        RSI        |             https://robertsspaceindustries.com/pledge/ships/rsi-aurora/Aurora-ES            |  Flight Ready |                           []                           |       26486        |  8   |   4    |   18   |    143    |    1141   |   3   |    1     |    1     |  124100  |    20   |    2482   |      00:00:30      |      00:00:00      |     255      |       False       |    False    |
|  6  |           Aurora LN            |  small  | Roberts Space Industries |        RSI        |             https://robertsspaceindustries.com/pledge/ships/rsi-aurora/Aurora-LN            |  Flight Ready |                           []                           |       28714        |  8   |   4    |   18   |    138    |    1208   |   3   |    1     |    1     |  338400  |    40   |    8447   |      00:00:40      |      00:00:00      |     340      |       False       |    False    |
|  3  |           Aurora LX            |  small  | Roberts Space Industries |        RSI        |             https://robertsspaceindustries.com/pledge/ships/rsi-aurora/Aurora-LX            |  Flight Ready |                           []                           |       26736        |  8   |   4    |   18   |    143    |    1199   |   3   |    1     |    1     |  245500  |    35   |    None   |      00:01:01      |      00:00:00      |     510      |       False       |    False    |
|  4  |           Aurora MR            |  small  | Roberts Space Industries |        RSI        |             https://robertsspaceindustries.com/pledge/ships/rsi-aurora/Aurora-MR            |  Flight Ready |                           []                           |       27893        |  8   |   4    |   18   |    146    |    1050   |   3   |    1     |    1     |  184900  |    30   |    None   |      00:00:40      |      00:00:00      |     340      |       False       |    False    |
| 100 |        Avenger Stalker         |  small  |      Aegis Dynamics      |        AEGS       |        https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Stalker        |  Flight Ready |                           []                           |      50786.3       | 16.5 |  5.5   |  22.5  |    184    |    1306   |   0   |    1     |    1     |  882200  |    60   |    None   |      00:00:51      |      00:00:00      |     425      |       False       |    False    |
| 102 |         Avenger Titan          |  small  |      Aegis Dynamics      |        AEGS       |         https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Titan         |  Flight Ready |                           []                           |      51362.68      | 16.5 |  5.5   |  22.5  |    189    |    1113   |   8   |    1     |    1     |   None   |    55   |   15712   |      00:00:47      |      00:00:00      |     395      |       False       |    False    |
| 124 |     Avenger Titan Renegade     |  small  |      Aegis Dynamics      |        AEGS       |     https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Titan-Renegade    |  Flight Ready |                           []                           |      51158.42      | 16.5 |  5.5   |  22.5  |    189    |    1113   |   8   |    1     |    1     |   None   |    75   |    None   |      00:00:51      |      00:00:00      |     425      |       False       |    False    |
| 101 |        Avenger Warlock         |  small  |      Aegis Dynamics      |        AEGS       |        https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Warlock        |  Flight Ready |                           []                           |      47231.75      | 16.5 |  5.5   |  22.5  |    181    |    1305   |   0   |    1     |    1     | 1155500  |    85   |   43331   |      00:01:01      |      00:00:00      |     510      |       False       |    False    |
| 183 |            Ballista            | vehicle |     Anvil Aerospace      |        ANVL       |           https://robertsspaceindustries.com/pledge/ships/anvil-ballista/Ballista           |  Flight Ready |                           []                           |       96816        |  7   |  5.5   |   17   |     0     |     0     |   0   |    2     |    1     |  364500  |   140   |    None   |      00:00:46      |      00:00:00      |     380      |       False       |    False    |
| 108 |             Blade              |  small  |         Esperia          |        ESPR       |             https://robertsspaceindustries.com/pledge/ships/vanduul-blade/Blade             |  Flight Ready |                           []                           |       27019        |  20  |  5.5   |  16.5  |    213    |    1237   |   0   |    1     |    1     | 3370600  |   275   |    None   |      00:04:13      |      00:01:24      |     2110     |       False       |    False    |
| 110 |           Buccaneer            |  small  |   Drake Interplanetary   |        DRAK       |          https://robertsspaceindustries.com/pledge/ships/drake-buccaneer/Buccaneer          |  Flight Ready |                           []                           |       40527        |  16  |  4.5   |   15   |    209    |    1316   |   0   |    1     |    1     | 1410000  |   117   |    None   |      00:05:24      |      00:01:48      |     2700     |       False       |    False    |
| 162 |          C2 Hercules           |  large  |   Crusader Industries    |        CRSD       |       https://robertsspaceindustries.com/pledge/ships/crusader-starlifter/C2-Hercules       |  Flight Ready |                           []                           |     3139240.06     |  70  |   23   |   94   |    135    |    963    |  696  |    2     |    1     | 4925500  |   400   |    None   |        None        |        None        |     None     |       False       |    False    |
| 191 |           C8 Pisces            |  small  |     Anvil Aerospace      |        ANVL       |            https://robertsspaceindustries.com/pledge/ships/anvil-pisces/C8-Pisces           |  Flight Ready |                           []                           |       48143        |  10  |  3.2   |   12   |    142    |    1150   |   4   |    3     |    1     |  406000  |    60   |    None   |      00:00:40      |      00:00:00      |     340      |       False       |    False    |
| 192 |     C8X Pisces Expedition      |  small  |     Anvil Aerospace      |        ANVL       |      https://robertsspaceindustries.com/pledge/ships/anvil-pisces/C8X-Pisces-Expedition     |  Flight Ready |                           []                           |       48143        |  10  |  3.2   |   13   |    142    |    1150   |   4   |    3     |    1     |   None   |    45   |    None   |      00:00:40      |      00:00:00      |     340      |       False       |    False    |
|  62 |            Carrack             |  large  |     Anvil Aerospace      |        ANVL       |               https://robertsspaceindustries.com/pledge/ships/carrack/Carrack               |  Flight Ready |                           []                           |       97858        | 76.5 |   30   | 126.5  |    208    |    1236   |  456  |    6     |    4     | 26657500 |   600   |    None   |      00:45:00      |      00:15:00      |    22500     |       False       |    False    |
| 206 |       Carrack Expedition       |  large  |     Anvil Aerospace      |        ANVL       |          https://robertsspaceindustries.com/pledge/ships/carrack/Carrack-Expedition         |  Flight Ready |                           []                           |       97858        | 76.5 |   30   | 126.5  |    208    |    1236   |  456  |    6     |    4     |   None   |    0    |    None   |      00:45:00      |      00:15:00      |    22500     |       False       |    False    |
| 205 |    Carrack Expedition w/C8X    |  large  |     Anvil Aerospace      |        ANVL       |       https://robertsspaceindustries.com/pledge/ships/carrack/Carrack-Expedition-W-C8X      |  Flight Ready |                          None                          |      4397858       | 76.5 |   30   | 126.5  |    1076   |     0     |  456  |    6     |    4     |   None   |   None  |    None   |        None        |        None        |     None     |        True       |    False    |
| 204 |         Carrack w/C8X          |  large  |     Anvil Aerospace      |        ANVL       |            https://robertsspaceindustries.com/pledge/ships/carrack/Carrack-W-C8X            |  Flight Ready |                          None                          |      4397858       | 76.5 |   30   | 126.5  |    1076   |     0     |  456  |    6     |    4     |   None   |   None  |    None   |        None        |        None        |     None     |        True       |    False    |
|  24 |          Caterpillar           |  large  |   Drake Interplanetary   |        DRAK       |        https://robertsspaceindustries.com/pledge/ships/drake-caterpillar/Caterpillar        |  Flight Ready |                           []                           |      1660063       |  39  |  13.5  | 111.5  |     99    |    894    |  564  |    4     |    2     | 4686600  |   306   |    None   |      00:18:00      |      00:06:00      |     9000     |       False       |    False    |
|  45 |    Constellation Andromeda     |  large  | Roberts Space Industries |        RSI        |  https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Andromeda  |  Flight Ready |                           []                           |       430057       |  26  |   14   |   61   |    144    |    911    |   96  |    4     |    3     | 3548000  |   240   |   70960   |      00:13:30      |      00:04:30      |     6750     |       False       |    False    |
|  47 |      Constellation Aquila      |  large  | Roberts Space Industries |        RSI        |    https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Aquila   |  Flight Ready |                           []                           |       449743       |  26  |   14   |   61   |    146    |    988    |   96  |    4     |    3     | 4926700  |   310   |    None   |      00:13:30      |      00:04:30      |     6750     |       False       |    False    |
|  49 |     Constellation Phoenix      |  large  | Roberts Space Industries |        RSI        |   https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Phoenix   |  Flight Ready |                           []                           |       427001       |  26  |   14   |   61   |    144    |    911    |   80  |    4     |    3     | 5658800  |   350   |   84882   |      00:21:36      |      00:07:12      |    10800     |       False       |    False    |
|  46 |      Constellation Taurus      |  large  | Roberts Space Industries |        RSI        |    https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Taurus   |  Flight Ready |                           []                           |       427001       |  26  |   14   |   61   |    144    |    911    |  174  |    4     |    3     | 3256400  |   190   |    None   |      00:12:36      |      00:04:12      |     6750     |       False       |    False    |
| 178 |            Corsair             |  large  |   Drake Interplanetary   |        DRAK       |            https://robertsspaceindustries.com/pledge/ships/drake-corsair/Corsair            |   In Concept  |         ['Constellation Aquila', 'Buccaneer']          |        None        |  27  |   31   |   55   |    None   |    None   |   72  |    4     |   None   |   None   |   215   |    None   |        None        |        None        |     None     |       False       |    False    |
| 103 |            Crucible            |  large  |     Anvil Aerospace      |        ANVL       |              https://robertsspaceindustries.com/pledge/ships/crucible/Crucible              |   In Concept  |              ['Constellation Andromeda']               |      3650500       |  50  |   20   |   90   |     0     |     0     |  230  |    8     |    3     |   None   |   350   |    None   |        None        |        None        |     None     |       False       |    False    |
|  56 |         Cutlass Black          |  medium |   Drake Interplanetary   |        DRAK       |         https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Black         |  Flight Ready |                           []                           |       246577       | 26.5 |   10   |   29   |    165    |    1114   |   46  |    2     |    2     | 1385300  |   100   |   27706   |      00:06:45      |      00:02:15      |     3375     |       False       |    False    |
|  58 |          Cutlass Blue          |  medium |   Drake Interplanetary   |        DRAK       |          https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Blue         |  Flight Ready |                           []                           |       226700       |  26  |   14   |   36   |    198    |    1210   |   12  |    3     |    2     | 2493500  |   175   |    None   |      00:07:25      |      00:02:29      |     3715     |       False       |    False    |
|  57 |          Cutlass Red           |  medium |   Drake Interplanetary   |        DRAK       |          https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Red          |  Flight Ready |                           []                           |       226700       |  26  |   14   |   36   |    183    |    1198   |   12  |    2     |    2     | 1810500  |   135   |    None   |      00:09:27      |      00:03:09      |     4725     |       False       |    False    |
| 134 |            Cyclone             | vehicle |         Tumbril          |        TMBL       |               https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone               |  Flight Ready |                           []                           |        6360        |  4   |  2.5   |   6    |     0     |     0     |   0   |    2     |    1     |  28086   |    55   |    551    |      00:00:12      |      00:00:00      |     105      |       False       |    False    |
| 138 |           Cyclone AA           | vehicle |         Tumbril          |        TMBL       |              https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone-AA             |  Flight Ready |                           []                           |        6439        |  4   |  2.5   |   6    |     0     |     0     |   0   |    2     |    1     |  28086   |    80   |    None   |      00:00:12      |      00:00:00      |     105      |       False       |    False    |
| 218 |           Cyclone MT           | vehicle |         Tumbril          |        TMBL       |              https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone-MT             |  Flight Ready |                           []                           |        6422        |  4   |  2.5   |   6    |     0     |     0     |   0   |    3     |    1     |   None   |    75   |    None   |      00:00:30      |      00:00:00      |     105      |       False       |    False    |
| 136 |           Cyclone RC           | vehicle |         Tumbril          |        TMBL       |              https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone-RC             |  Flight Ready |                           []                           |        6439        |  4   |  2.5   |   6    |     0     |     0     |   0   |    2     |    1     |  28086   |    65   |    None   |      00:00:12      |      00:00:00      |     105      |       False       |    False    |
| 137 |           Cyclone RN           | vehicle |         Tumbril          |        TMBL       |              https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone-RN             |  Flight Ready |                           []                           |        6439        |  4   |   3    |   6    |     0     |     0     |   0   |    2     |    1     |  28086   |    65   |    None   |      00:00:12      |      00:00:00      |     105      |       False       |    False    |
| 135 |           Cyclone TR           | vehicle |         Tumbril          |        TMBL       |              https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone-TR             |  Flight Ready |                           []                           |        6422        |  4   |  2.5   |   6    |     0     |     0     |   0   |    3     |    1     |  28086   |    65   |    None   |      00:00:12      |      00:00:00      |     105      |       False       |    False    |
| 129 |            Defender            |  small  |           Banu           |        BANU       |            https://robertsspaceindustries.com/pledge/ships/defender/Banu-Defender           |  Flight Ready |                           []                           |       244726       |  20  |   8    |  25.5  |    202    |    1199   |   0   |    2     |    1     | 2781000  |   220   |    None   |      00:08:26      |      00:02:49      |     4220     |       False       |    False    |
| 112 |        Dragonfly Black         |   snub  |   Drake Interplanetary   |        DRAK       |       https://robertsspaceindustries.com/pledge/ships/drake-dragonfly/Dragonfly-Black       |  Flight Ready |                           []                           |        2068        | 2.5  |  1.5   |   6    |     90    |    500    |   0   |    2     |    1     |  272700  |    40   |    5454   |      00:00:06      |      00:00:00      |      55      |       False       |    False    |
| 130 |            Eclipse             |  small  |      Aegis Dynamics      |        AEGS       |               https://robertsspaceindustries.com/pledge/ships/eclipse/Eclipse               |  Flight Ready |                           []                           |       55920        | 36.6 |  4.4   |  20.5  |    145    |    981    |   0   |    1     |    1     | 3490000  |   300   |    None   |      00:15:28      |      00:05:09      |     7735     |       False       |    False    |
|  97 |            Endeavor            | capital |           MISC           |        MISC       |            https://robertsspaceindustries.com/pledge/ships/misc-endeavor/Endeavor           |   In Concept  |              ['Starfarer', 'Cutlass Red']              |      4055000       |  48  |   20   |  200   |     0     |     0     |  500  |    5     |    3     |   None   |   350   |    None   |        None        |        None        |     None     |       False       |    False    |
|  37 |           F7A Hornet           |  small  |     Anvil Aerospace      |        ANVL       |           https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7A-Hornet           |   In Concept  |                           []                           |       74132        |  22  |   7    |  22.5  |    200    |    1337   |   0   |    1     |    1     |   None   |    0    |    None   |        None        |        None        |     None     |       False       |    False    |
|  11 |           F7C Hornet           |  small  |     Anvil Aerospace      |        ANVL       |           https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-Hornet           |  Flight Ready |                           []                           |       74132        | 21.5 |  6.5   |  22.5  |    191    |    1228   |   0   |    1     |    1     | 1492700  |   110   |    None   |      00:06:45      |      00:02:15      |     3375     |       False       |    False    |
| 122 |      F7C Hornet Wildfire       |  small  |     Anvil Aerospace      |        ANVL       |       https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-Hornet-Wildfire      |  Flight Ready |                           []                           |       74132        | 21.5 |  6.5   |  22.5  |    192    |    1229   |   0   |    1     |    1     |   None   |   175   |    None   |      00:06:45      |      00:02:15      |     3375     |       False       |    False    |
|  15 |       F7C-M Super Hornet       |  small  |     Anvil Aerospace      |        ANVL       |       https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-M-Super-Hornet       |  Flight Ready |                           []                           |       78886        |  24  |  6.5   |  25.5  |    191    |    1229   |   0   |    2     |    1     | 2132600  |   180   |    None   |      00:07:36      |      00:02:32      |     3800     |       False       |    False    |
| 177 | F7C-M Super Hornet Heartseeker |  small  |     Anvil Aerospace      |        ANVL       | https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-M-Super-Hornet-Heartseeker |  Flight Ready |                           []                           |       78670        |  24  |  6.5   |  25.5  |    192    |    1229   |   0   |    2     |    1     |   None   |    0    |    None   |      00:07:36      |      00:02:32      |     3800     |       False       |    False    |
|  14 |      F7C-R Hornet Tracker      |  small  |     Anvil Aerospace      |        ANVL       |      https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-R-Hornet-Tracker      |  Flight Ready |                           []                           |       74197        | 21.5 |  6.5   |  22.5  |    192    |    1229   |   0   |    1     |    1     | 1832100  |   140   |    None   |      00:06:45      |      00:02:15      |     3375     |       False       |    False    |
|  13 |       F7C-S Hornet Ghost       |  small  |     Anvil Aerospace      |        ANVL       |       https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-S-Hornet-Ghost       |  Flight Ready |                           []                           |       73724        | 21.5 |  6.5   |  22.5  |    192    |    1229   |   0   |    1     |    1     | 1654100  |   125   |    None   |      00:06:45      |      00:02:15      |     3375     |       False       |    False    |
|  16 |           Freelancer           |  medium |           MISC           |        MISC       |          https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer         |  Flight Ready |                           []                           |       231696       | 23.5 |  9.5   |   38   |    154    |    1005   |   66  |    4     |    2     | 1697600  |   110   |   33952   |      00:09:54      |      00:03:18      |     4950     |       False       |    False    |
|  31 |         Freelancer DUR         |  medium |           MISC           |        MISC       |        https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer-DUR       |  Flight Ready |                           []                           |       234718       | 23.5 |  9.5   |   38   |    154    |    1005   |   28  |    4     |    2     | 1967600  |   135   |    None   |      00:10:48      |      00:03:36      |     5400     |       False       |    False    |
|  32 |         Freelancer MAX         |  medium |           MISC           |        MISC       |        https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer-MAX       |  Flight Ready |                           []                           |       360208       |  36  |  9.5   |   38   |    154    |    1005   |  120  |    4     |    2     | 2181500  |   150   |    None   |      00:11:42      |      00:03:54      |     5850     |       False       |    False    |
|  33 |         Freelancer MIS         |  medium |           MISC           |        MISC       |        https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer-MIS       |  Flight Ready |                           []                           |       236353       | 23.5 |  9.5   |   38   |    154    |    1005   |   36  |    4     |    2     | 2537800  |   175   |    None   |      00:12:36      |      00:04:12      |     6300     |       False       |    False    |
| 208 |              G12               | vehicle |     Origin Jumpworks     |        ORIG       |                https://robertsspaceindustries.com/pledge/ships/origin-g12/G12               |   In Concept  |                     ['Cyclone TR']                     |        None        | 5.8  |  2.7   |  7.2   |     50    |    None   |   0   |   None   |   None   |   None   |    0    |    None   |        None        |        None        |     None     |       False       |    False    |
| 210 |              G12a              | vehicle |     Origin Jumpworks     |        ORIG       |               https://robertsspaceindustries.com/pledge/ships/origin-g12/G12a               |   In Concept  |                     ['Cyclone AA']                     |        None        | 5.8  |  2.7   |  7.2   |     45    |    None   |   0   |   None   |   None   |   None   |    0    |    None   |        None        |        None        |     None     |       False       |    False    |
| 209 |              G12r              | vehicle |     Origin Jumpworks     |        ORIG       |               https://robertsspaceindustries.com/pledge/ships/origin-g12/G12r               |   In Concept  |                     ['Cyclone RC']                     |        None        | 5.8  |  2.7   |  7.2   |     55    |    None   |   0   |   None   |   None   |   None   |    0    |    None   |        None        |        None        |     None     |       False       |    False    |
|  91 |            Genesis             |  large  |   Crusader Industries    |        CRSD       |              https://robertsspaceindustries.com/pledge/ships/starliner/Genesis              | In Production |                    ['C2 Hercules']                     |      3120000       |  90  |   16   |   85   |     0     |     0     |  300  |    8     |    2     |   None   |   400   |    None   |        None        |        None        |     None     |       False       |    False    |
|  64 |           Gladiator            |  small  |     Anvil Aerospace      |        ANVL       |          https://robertsspaceindustries.com/pledge/ships/anvil-gladiator/Gladiator          |  Flight Ready |                           []                           |       88408        | 22.5 |   6    |  22.5  |    150    |    982    |   0   |    2     |    1     | 1952500  |   165   |    None   |      00:07:36      |      00:02:32      |     3800     |       False       |    False    |
|  60 |            Gladius             |  small  |      Aegis Dynamics      |        AEGS       |               https://robertsspaceindustries.com/pledge/ships/gladius/Gladius               |  Flight Ready |                           []                           |      51352.06      |  17  |  5.5   |   20   |    207    |    1235   |   0   |    1     |    1     | 1169900  |    90   |    None   |      00:05:04      |      00:01:41      |     2535     |       False       |    False    |
| 188 |         Gladius Pirate         |  small  |      Aegis Dynamics      |        AEGS       |            https://robertsspaceindustries.com/pledge/ships/gladius/Pirate-Gladius           |  Flight Ready |                           []                           |       48958        |  17  |  5.5   |   20   |    280    |    1235   |   0   |    1     |    1     |   None   |    0    |    None   |        None        |        None        |     None     |       False       |    False    |
| 121 |        Gladius Valiant         |  small  |      Aegis Dynamics      |        AEGS       |           https://robertsspaceindustries.com/pledge/ships/gladius/Gladius-Valiant           |  Flight Ready |                           []                           |       501.51       |  17  |  5.5   |   20   |    208    |    1236   |   0   |    1     |    1     |   None   |   110   |    None   |      00:05:04      |      00:01:41      |     2535     |       False       |    False    |
|  93 |             Glaive             |  medium |         Esperia          |        ESPR       |            https://robertsspaceindustries.com/pledge/ships/esperia-glaive/Glaive            |  Flight Ready |                           []                           |       76520        | 31.5 |  8.5   |   31   |    180    |    1224   |   0   |    1     |    1     |   None   |    0    |    None   |      00:07:36      |      00:02:32      |     3800     |       False       |    False    |
